Price,Location,Surface
2 100 €,Septfontaines,130 m²
2 450 €,Luxembourg-Weimershof,50 m²
1 950 €,Roeser,61 m²
1 650 €,Luxembourg-Cessange,38 m²
1 900 €,Luxembourg-Gare,55 m²
2 400 €,Luxembourg-Gare,96 m²
2 490 €,Niederdonven,90 m²
2 700 €,Luxembourg-Grund,71 m²
3 100 €,Luxembourg-Kirchberg,108 m²
3 900 €,Luxembourg-Belair,160 m²
1 500 €,Ettelbruck,72 m²
1 600 €,Luxembourg-Muhlenbach,40 m²
2 100 €,Luxembourg-Limpertsberg,40 m²
2 100 €,Junglinster,57 m²
2 400 €,Differdange,96 m²
3 200 €,Luxembourg-Belair,115 m²
2 600 €,Luxembourg-Merl,78 m²
1 650 €,Luxembourg-Merl,27 m²
2 100 €,Luxembourg-Cessange,66 m²
1 500 €,Luxembourg-Rollingergrund,35 m²
2 200 €,Bridel,100 m²
2 300 €,Luxembourg-Neudorf,68 m²
1 800 €,Luxembourg-Rollingergrund,53 m²
2 650 €,Luxembourg-Limpertsberg,75 m²
1 200 €,Luxembourg-Hollerich,16 m²
3 200 €,Luxembourg-Limpertsberg,95 m²
1 500 €,Niederkorn,45 m²
1 400 €,Rodange,30 m²
750 €,Kayl,N/A
1 500 €,Pétange,42 m²
2 900 €,Esch-sur-Alzette,175 m²
1 800 €,Luxembourg-Gare,57 m²
850 €,Luxembourg-Weimerskirch,11 m²
950 €,Luxembourg-Weimerskirch,13 m²
4 550 €,Luxembourg-Centre ville,140 m²
1 650 €,Luxembourg-Centre ville,55 m²
2 900 €,Esch-sur-Alzette,175 m²
2 300 €,Luxembourg-Gare,70 m²
2 000 €,Helmsange,85 m²
1 250 €,Luxembourg-Gare,30 m²
2 550 €,Luxembourg-Centre ville,90 m²
2 000 €,Luxembourg-Centre ville,87 m²
3 200 €,Luxembourg-Centre ville,158 m²
1 400 €,Esch-sur-Alzette,32 m²
720 €,Schrassig,18 m²
2 300 €,Luxembourg-Kirchberg,51 m²
3 000 €,Fentange,100 m²
2 050 €,Luxembourg-Bonnevoie,62 m²
2 000 €,Luxembourg-Gasperich - Cloche d'or,60 m²
2 000 €,Luxembourg-Centre ville,44 m²
2 350 €,Luxembourg-Centre ville,66 m²
4 000 €,Luxembourg-Centre ville,130 m²
2 700 €,Luxembourg-Hollerich,100 m²
2 400 €,Luxembourg-Centre ville,75 m²
1 900 €,Luxembourg-Verlorenkost,55 m²
2 500 €,Luxembourg-Centre ville,83 m²
1 980 €,Mertzig,88 m²
1 350 €,Doncols,73 m²
3 400 €,Luxembourg-Limpertsberg,167 m²
1 850 €,Strassen,54 m²
1 650 €,Luxembourg-Neudorf,35 m²
2 400 €,Luxembourg-Belair,69 m²
1 350 €,Luxembourg-Belair,17 m²
1 350 €,Luxembourg-Belair,17 m²
1 350 €,Luxembourg-Belair,18 m²
1 750 €,Luxembourg-Belair,27 m²
1 500 €,Luxembourg-Belair,20 m²
750 €,Luxembourg-Beggen,15 m²
1 700 €,Bertrange,52 m²
2 300 €,Steinsel,78 m²
3 100 €,Luxembourg-Centre ville,96 m²
2 100 €,Luxembourg-Gare,73 m²
2 100 €,Luxembourg-Gare,73 m²
3 100 €,Luxembourg-Centre ville,96 m²
1 850 €,Gonderange,57 m²
2 300 €,Steinsel,78 m²
5 000 €,Luxembourg-Centre ville,260 m²
2 400 €,Manternach,120 m²
4 100 €,Bertrange,115 m²
2 100 €,Luxembourg-Cents,57 m²
2 000 €,Pétange,76 m²
1 825 €,Luxembourg-Cessange,53 m²
2 950 €,Luxembourg-Centre ville,92 m²
2 000 €,Luxembourg-Kirchberg,49 m²
750 €,Rodange,N/A
2 300 €,Luxembourg-Limpertsberg,47 m²
4 500 €,Luxembourg-Hollerich,138 m²
2 500 €,Luxembourg-Beggen,103 m²
2 950 €,Luxembourg-Belair,94 m²
2 800 €,Luxembourg-Belair,80 m²
3 400 €,Fentange,96 m²
1 000 €,Luxembourg-Beggen,11 m²
1 750 €,Differdange,59 m²
2 200 €,Bertrange,56 m²
1 800 €,Echternach,76 m²
5 500 €,Luxembourg-Belair,178 m²
3 400 €,Luxembourg-Limpertsberg,100 m²
2 400 €,Luxembourg-Gare,90 m²
3 600 €,Luxembourg-Neudorf,90 m²
4 000 €,Lorentzweiler,126 m²
2 600 €,Luxembourg-Centre ville,110 m²
5 000 €,Luxembourg-Kirchberg,264 m²
3 300 €,Junglinster,155 m²
900 €,Helmsange,16 m²
2 500 €,Luxembourg-Belair,90 m²
900 €,Differdange,17 m²
900 €,Differdange,15 m²
2 400 €,Luxembourg-Cents,84 m²
1 570 €,Pétange,58 m²
3 200 €,Walferdange,95 m²
1 850 €,Luxembourg-Centre ville,37 m²
1 649 €,Luxembourg-Bonnevoie,38 m²
2 700 €,Luxembourg-Centre ville,88 m²
4 500 €,Luxembourg-Hollerich,138 m²
4 200 €,Luxembourg-Belair,120 m²
2 400 €,Luxembourg-Centre ville,85 m²
1 950 €,Luxembourg-Gare,71 m²
2 600 €,Luxembourg-Verlorenkost,100 m²
De 300 € à 2 731 550 €,Luxembourg-Belair,De 13 à 178 m²
3 600 €,Luxembourg-Belair,116 m²
1 425 €,Luxembourg-Kirchberg,14 m²
1 425 €,Luxembourg-Kirchberg,13 m²
